Number,Registration,Details,Product,MPG,Odometer,Distance,Unit,MPG with Platoon Operation
3441,YD67JBV,Fuso Canter 7C15 HEV Tipper 7.5t,Diesel,29.88,25680,20414,Miles,28.55
3442,YD67JBX,Fuso Canter 7C15 HEV Tipper 7.5t,Diesel,15.99,12139,7100,Miles,15.28
3443,YD67JBY,Fuso Canter 7C15 HEV Tipper 7.5t,Diesel,15.8,9368,5631,Miles,15.1
3444,YD67JBZ,Fuso Canter 7C15 HEV Tipper 7.5t,Diesel,16.34,11607,6558,Miles,15.61
3445,YD67JCJ,Fuso Canter 7C15 HEV Tipper 7.5t,Diesel,14.16,16002,11500,Miles,13.53
3446,YD67JCO,Fuso Canter 7C15 HEV Tipper 7.5t,Diesel,24.71,18985,11793,Miles,23.61
3447,YD67JCV,Fuso Canter 7C15 HEV Tipper 7.5t,Diesel,15.34,11646,7574,Miles,14.66
3448,YD67JCX,Fuso Canter 7C15 HEV Tipper 7.5t,Diesel,16.85,11197,8234,Miles,16.1
3449,YD67JNJ,Fuso Canter 7C15 HEV Tipper 7.5t,Diesel,17.19,8611,6506,Miles,16.43
3450,YD67KGA,Fuso Canter 7C15 HEV Tipper 7.5t,Diesel,13.97,10726,6880,Miles,13.35
3451,YD67KGE,Fuso Canter 7C15 HEV Tipper 7.5t,Diesel,16.8,12129,6826,Miles,16.05
3452,YD67KGF,Fuso Canter 7C15 HEV Tipper 7.5t,Diesel,13.98,5783,4060,Miles,13.36
3453,YD67KGJ,Fuso Canter 7C15 HEV Tipper 7.5t,Diesel,16.51,11175,8075,Miles,15.78
3454,YD67KGK,Fuso Canter 7C15 HEV Tipper 7.5t,Diesel,14.43,6946,3663,Miles,13.79
3456,YD67KGO,Fuso Canter 7C15 HEV Tipper 7.5t,Diesel,15.3,12046,8138,Miles,14.62
3457,YD67KGP,Fuso Canter 7C15 HEV Tipper 7.5t,Diesel,15.31,12331,7270,Miles,14.63
3458,YD67KGX,Fuso Canter 7C15 HEV Tipper 7.5t,Diesel,6.85,12952,6405,Kilometres,6.55
3501,PE63VRG,Renault Midlum 7.5 Tip Grit Tipper 7.5t,Diesel,16.71,54796,4712,Miles,15.97
3502,PE63VRK,Renault Midlum 7.5 Tip Grit Tipper 7.5t,Diesel,15.72,46472,6056,Miles,15.02
3503,PE63VRJ,Renault Midlum 7.5 Tip Grit Tipper 7.5t,Diesel,17.82,32386,5438,Miles,17.03
3504,YH68EBA,Iveco Daily Flatback over 3.5T,CNG,8.92,287,195,Miles,8.52
3505,YH68DXT,Iveco Daily Graffeti,CNG,10.15,433,305,Miles,9.7
3803,PO14FNE,Renault Midlum 220 dxi Flatback over 7.5t,Diesel,6.09,21049,327,Miles,5.82
3901,YJ66VYU,Mercedes Arocs 2635K Tipper over 7.5t,Diesel,5.88,10077,2151,Miles,5.62
3905,PO14FND,Renault Premium Tipper over 7.5t,Diesel,7.91,53426,3598,Miles,7.56
4100,YK56CDY,Ford Transit 430 LWB WASH Van 3.5t - 7.5t,Diesel,8.86,46871,2938,Miles,8.47
4315,PN07VVX,Renault Midlum 240.18 Tipper 18t Demount,Gasoil,8.49,121675,620,Miles,8.11
4316,PN07VVZ,Renault Midlum 240.18 Tipper 18t Demount,Gasoil,9.13,117963,1206,Miles,8.72
4384,MF51HKK,Leyland DAF LF 55 Bulk Gritter,Gasoil,8.36,423328,570,Miles,7.99
