Number,Registration,Details,Product,MPG,Odometer,Distance,Unit,MPG with Platoon Operation
280,YJ62EPX,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,19.66,113909,8522,Miles,18.79
281,YJ62ENF,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,20.81,89729,7979,Miles,19.88
282,YJ62EPF,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,21.91,106326,11837,Miles,20.94
283,YJ62EUA,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,19.46,106165,4959,Miles,18.59
284,YB63HPY,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,17.84,69114,10286,Miles,17.05
285,YG14DRO,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,21.53,73088,10610,Miles,20.57
286,YG14LGD,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,20.49,77596,8485,Miles,19.58
287,YG14LFZ,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,20.7,78713,10302,Miles,19.78
288,YG14RHZ,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,21.83,87495,11769,Miles,20.86
289,YG14YKN,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,19.48,72971,8205,Miles,18.61
290,YH14EHJ,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,18.93,64600,5805,Miles,18.09
291,YH14NFU,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,20.26,63261,10089,Miles,19.36
292,YH14ZPN,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,21.21,68819,10758,Miles,20.27
293,YC14VKZ,Volkswagen CR50 Coachbuilt Mell Coachbuilt Bus,Diesel,21.3,67996,12448,Miles,20.35
294,YJ66EBM,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,20.45,34481,11717,Miles,19.54
295,YJ66DSV,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,21.61,34933,13681,Miles,20.65
296,YJ66EAW,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,20.62,23937,8777,Miles,19.7
297,YJ66DSU,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,19.78,31129,10217,Miles,18.9
358,YH08CKO,Ford Transit 17st Minibus Minibus to 17 Seats,Diesel,29.52,47723,1409,Miles,28.21
368,YG59GBV,Ford Transit 17st Minibus Minibus to 17 Seats,Diesel,35.09,94272,6046,Miles,33.53
369,YB60HYK,Ford Transit 17st Minibus Minibus to 17 Seats,Diesel,36.64,51985,2297,Miles,35.01
374,YE63TYB,Ford Transit 17st Minibus Minibus to 17 Seats,Diesel,23.02,14679,1666,Miles,22
375,YH14FNO,Ford Transit 14st minibus Minibus to 17 Seats,Diesel,21.41,17785,2232,Miles,20.46
376,YF65FKA,Ford Transit 14st minibus Minibus to 17 Seats,Diesel,34.35,16859,2881,Miles,32.82
377,YF65FKR,Ford Transit 14st minibus Minibus to 17 Seats,Diesel,29.61,16254,2346,Miles,28.29
379,MV17BKA,Vauxhall Movano Bus Minibus to 17 Seats,Diesel,38.63,12025,7352,Miles,36.91
401,SF68LJL,Fiat Ducato Welfare,Diesel,18.93,3031,2934,Miles,18.09
402,SF68LJK,Fiat Ducato Welfare,Diesel,18.44,2640,2541,Miles,17.62
403,LX65AUM,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,16.81,48062,14403,Miles,16.06
404,SF68LJJ,Fiat Ducato Welfare,Diesel,17.82,4456,4365,Miles,17.03
405,SF68LJC,Fiat Ducato Welfare,Diesel,18.43,2960,2827,Miles,17.61
406,SF68LJE,Fiat Ducato Welfare,Diesel,13.94,2879,2696,Miles,13.32
407,SF68LHZ,Fiat  Ducato Welfare,Diesel,19.14,3512,3418,Miles,18.29
408,SF68LHX,Fiat Ducato Welfare,Diesel,18.36,2153,2055,Miles,17.54
409,SF68LJA,Fiat Ducato welfare,Diesel,19.1,3092,3047,Miles,18.25
411,LX65AUH,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,19.69,56291,14406,Miles,18.81
412,LX65AUJ,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,17.32,52675,10103,Miles,16.55
413,LX65AUL,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,18.03,37419,9427,Miles,17.23
414,LX65AUK,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,19.95,62041,15149,Miles,19.06
415,LX65AUF,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,18.68,47362,11471,Miles,17.85
416,LX65AUE,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,19.4,56187,12929,Miles,18.54
417,LV16HLF,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,23.88,63529,14745,Miles,22.82
418,LV16HLG,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,19.82,70999,20199,Miles,18.94
419,LV16HLA,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,19.97,39704,9900,Miles,19.08
420,LV16HLC,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,22.31,45020,12007,Miles,21.32
421,LV16HLD,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,20.64,44323,11907,Miles,19.72
422,LV16HLE,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,20.65,45547,11579,Miles,19.73
423,LV16HLR,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,19.89,41669,12537,Miles,19.01
424,SF68LHY,Fiat ducato Welfare,Diesel,18.94,3566,3472,Miles,18.1
425,SF68LHW,Fiat Ducato Welfare,Diesel,15.29,2380,2288,Miles,14.61
426,SF68LHT,Fiat Ducato Welfare,Diesel,16.83,2116,2003,Miles,16.08
427,SF68LHP,Fiat Ducato Welfare,Diesel,14.8,1465,1415,Miles,14.14
428,SF68LHU,Fiat Ducato Welfare,Diesel,14.76,1483,1393,Miles,14.1
429,SF68LHR,Fiat Ducato Welfare,Diesel,15.69,1527,1432,Miles,14.99
442,YJ14DXR,Volkswagen CR50 Coachbuilt Mell Coachbuilt Bus,Diesel,19.51,75258,15467,Miles,18.64
443,YJ14DXY,Volkswagen CR50 Coachbuilt Mell Coachbuilt Bus,Diesel,17.64,83682,12511,Miles,16.86
444,YJ14DXP,Volkswagen CR50 Coachbuilt Mell Coachbuilt Bus,Diesel,19.07,82053,12349,Miles,18.22
445,YJ14DXU,Volkswagen CR50 Coachbuilt Mell Coachbuilt Bus,Diesel,17.47,72263,8677,Miles,16.69
446,LX66AHJ,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,21.12,28627,9928,Miles,20.18
447,LX66 AFY,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,20.15,29500,10070,Miles,19.25
448,LX66ALO,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,18.65,37175,10169,Miles,17.82
449,LX66AMU,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,18.12,25153,7108,Miles,17.31
450,LX66AJY,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,16.94,26130,7237,Miles,16.19
451,LX66AHE,Mercedes Sprinter Coachbuilt Coachbuilt Bus,Diesel,17.32,38582,10449,Miles,16.55
452,SF68LHV,Fiat Ducato Welfare,Diesel,16.24,2052,1999,Miles,15.52
0461P,YJ64BJO,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,18.06,47852,6854,Miles,17.26
0462P,YJ64BJK,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,19.8,53752,8614,Miles,18.92
0463P,YJ64BJF,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,20.08,65389,7941,Miles,19.19
0464P,YJ64BJU,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,18.27,60301,8289,Miles,17.46
0465P,YJ64BJE,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,20.19,74317,14185,Miles,19.29
0466P,YJ64NYO,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,22.57,57606,8591,Miles,21.57
0467P,YJ64BJV,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,18.68,60795,8052,Miles,17.85
0468P,YJ64BJY,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,17.02,36960,6462,Miles,16.26
0469P,YJ64BJX,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,20.22,50673,8599,Miles,19.32
473,YJ64NYK,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,15.91,42754,6910,Miles,15.2
474,YJ64NYL,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,18.96,55871,10238,Miles,18.12
475,YJ64NYN,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,22.09,69454,11734,Miles,21.11
476,YJ64NYM,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,22.6,88365,15422,Miles,21.59
477,YJ64NYV,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,17.76,56114,8455,Miles,16.97
478,YJ64NYX,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,16.76,58038,8708,Miles,16.01
479,YJ64NYW,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,18.95,57744,8853,Miles,18.11
480,YJ64NYY,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,16.69,48744,5216,Miles,15.95
481,YJ64NYZ,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,17.48,45149,6563,Miles,16.7
482,YJ64NZB,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,23.86,65589,11082,Miles,22.8
483,YJ64NZA,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,20.13,55784,10353,Miles,19.23
484,YJ64NZC,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,20.2,58545,8680,Miles,19.3
486,YJ64NZP,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,22.11,56260,11235,Miles,21.13
487,YJ64NYT,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,18.89,38767,8328,Miles,18.05
488,YJ64NZM,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,23.86,81396,12867,Miles,22.8
489,YJ64NZO,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,22.79,68574,13142,Miles,21.78
491,YJ64NZH,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,20.12,53675,10788,Miles,19.22
492,YJ64NZK,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,19.18,55058,9888,Miles,18.33
493,YJ64NZD,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,20.09,45298,8564,Miles,19.2
494,YJ64NZG,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,18.69,45303,10711,Miles,17.86
495,YJ64NZE,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,22.82,60622,10752,Miles,21.8
496,YJ64NZF,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,19.92,62625,9945,Miles,19.03
497,YJ15BXE,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,19.72,47984,9471,Miles,18.84
529,YC12UYR,Ford Ranger 4x4 pickup 4x4 Utility Vehicle,Diesel,23.99,40696,3093,Miles,22.92
531,YB63OJW,Ford Ranger 4X4 Utility Vehicle,Diesel,24.2,27491,2938,Miles,23.12
535,YL17PLF,Ford Ranger 4x4 CCpickup 4x4 Utility Vehicle,Diesel,22.6,4195,2189,Miles,21.59
536,YL17PHN,Ford Ranger 4x4 pickup 4x4 Utility Vehicle,Diesel,25.33,4521,2570,Miles,24.2
700,MJ16XMA,Vauxhall Corsa Car Derived Van,Diesel,56.91,20618,5168,Miles,54.38
701,MJ16XLX,Vauxhall Corsa Car Derived Van,Diesel,50.93,20320,5740,Miles,48.66
704,MW16DBX,Vauxhall Corsa Car Derived Van,Diesel,48.37,17471,4611,Miles,46.22
705,MW16DCF,Vauxhall Corsa Car Derived Van,Diesel,55.86,19275,5363,Miles,53.37
706,MW16CZC,Vauxhall Corsa Car Derived Van,Diesel,57.81,34258,7875,Miles,55.24
707,MW16CZD,Vauxhall Corsa Car Derived Van,Diesel,53.5,21986,5331,Miles,51.12
708,MW16CYZ,Vauxhall Corsa Car Derived Van,Diesel,52.98,22728,5196,Miles,50.62
710,MW16DFA,Vauxhall Corsa Car Derived Van,Diesel,54.32,11881,2169,Miles,51.9
711,MW16CZU,Vauxhall Corsa Car Derived Van,Diesel,42.89,18206,4484,Miles,40.98
712,MW16CZP,Vauxhall Corsa Car Derived Van,Diesel,57.68,25526,7830,Miles,55.11
713,MW16CZM,Vauxhall Corsa Car Derived Van,Diesel,48.75,18015,4002,Miles,46.58
714,MW16CZL,Vauxhall Corsa Car Derived Van,Diesel,51.29,13175,3270,Miles,49.01
715,MW16CZR,Vauxhall Corsa Car Derived Van,Diesel,39.47,21520,5020,Miles,37.71
716,MW16CZT,Vauxhall Corsa Car Derived Van,Diesel,50.57,16904,2463,Miles,48.32
721,YC59HAE,Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,46.25,45601,5770,Miles,44.19
722,MW66YYB,Vauxhall Corsa Car Derived Van,Diesel,49.77,11753,4136,Miles,47.56
727,MW16DCZ,Vauxhall Corsa Car Derived Van,Diesel,53.6,12292,3052,Miles,51.22
728,MW16DDU,Vauxhall CORSA  CDTI Car,Diesel,51.32,15890,4340,Miles,49.04
730,MW16CZZ,Vauxhall CORSA  CDTI Car,Diesel,57.07,38502,10917,Miles,54.53
735,MV17DDO,Vauxhall Corsa Car Derived Van,Diesel,42.49,7352,3047,Miles,40.6
736,MV17CPY,Vauxhall Corsa Car Derived Van,Diesel,53.38,19971,7487,Miles,51.01
737,MV17CPZ,Vauxhall Corsa Car Derived Van,Diesel,56.45,13158,6187,Miles,53.94
740,MW16DCY,Vauxhall Corsa Car Derived Van,Diesel,51.66,21293,6669,Miles,49.36
743,YF10WXR,Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,55.59,67685,3836,Miles,53.12
853,YF08BFZ,Vauxhall Astra Van Small,Diesel,32.85,61962,6485,Miles,31.39
923,YS55SXN,Ford Connect T220SWB van Van Small,Diesel,37.15,78997,6602,Miles,35.5
957,YE07FAF,Ford Connect T220SWB van Van Small,Diesel,39.96,74907,2698,Miles,38.18
959,YC07ONJ,Ford Connect T220SWB van Van Small,Diesel,35.44,88645,2978,Miles,33.86
976,YF07GGZ,Ford Connect T220SWB van Van Small,Diesel,33.43,76588,2027,Miles,31.94
989,YF57VKG,Ford Connect T220SWB van Van Small,Diesel,35.46,65401,3650,Miles,33.88
1000,YB08XOF,Ford Connect T220SWB van Van Small,Diesel,42.09,78398,4653,Miles,40.22
1009,YB63UOV,Peugeot Partner Van Small,Diesel,40.48,64465,9801,Miles,38.68
1010,YB63UOW,Peugeot Partner Van Small,Diesel,36.33,40849,3990,Miles,34.71
1011,YB63UOX,Peugeot Partner Van Small,Diesel,37.71,27448,3796,Miles,36.03
1012,YB63UOY,Peugeot Partner Van Small,Diesel,43.46,47038,16580,Miles,41.53
1013,YB63UPA,Peugeot Partner Van Small,Diesel,39.53,29429,3075,Miles,37.77
1014,YB63UPC,Peugeot Partner Van Small,Diesel,36.34,24986,2609,Miles,34.72
1016,YB63UPE,Peugeot Partner Van Small,Diesel,44.14,73323,11768,Miles,42.18
1017,YB63UPF,Peugeot Partner Van Small,Diesel,33.78,21936,2566,Miles,32.28
1018,YB63UPG,Peugeot Partner Van Small,Diesel,45.83,39583,6187,Miles,43.79
1019,YB63UPH,Peugeot Partner Van Small,Diesel,37.07,43254,5614,Miles,35.42
1020,YB63UPJ,Peugeot Partner Van Small,Diesel,41.45,42795,6371,Miles,39.61
1021,YB63UPK,Peugeot Partner Van Small,Diesel,34.22,26022,4785,Miles,32.7
1022,YB63UPL,Peugeot Partner Van Small,Diesel,33.05,50098,7770,Miles,31.58
1023,YB63UPM,Peugeot Partner Van Small,Diesel,37.15,45868,7312,Miles,35.5
1024,YB63UPN,Peugeot Partner Van Small,Diesel,31.36,33817,3388,Miles,29.96
1025,YB63UPO,Peugeot Partner Van Small,Diesel,36.92,38069,6953,Miles,35.28
1026,YC63ERY,Peugeot Partner Van Small,Diesel,36.87,37482,5364,Miles,35.23
1027,YF63HCD,Peugeot Partner Van Small,Diesel,37.78,36437,5590,Miles,36.1
1028,YF63HCG,Peugeot Partner Van Small,Diesel,37.88,43650,6601,Miles,36.19
1029,YF63HCJ,Peugeot Partner Van Small,Diesel,36.28,39281,3906,Miles,34.67
1030,YF63HCK,Peugeot Partner Van Small,Diesel,31.47,28735,4287,Miles,30.07
1031,YG63ETU,Peugeot Partner Van Small,Diesel,38.82,37648,3671,Miles,37.09
1032,YG63ETV,Peugeot Partner Van Small,Diesel,39.67,45441,5362,Miles,37.91
1033,YG63ETX,Peugeot Partner Van Small,Diesel,38.08,32266,4422,Miles,36.39
1034,YG63ETY,Peugeot Partner Van Small,Diesel,40.4,43905,7034,Miles,38.6
1035,YG63ETZ,Peugeot Partner Van Small,Diesel,40.83,48910,5780,Miles,39.01
1036,YG63EUA,Peugeot Partner Van Small,Diesel,34.55,43691,6467,Miles,33.01
1037,YB63URL,Peugeot Partner Van Small,Diesel,41.68,58047,13986,Miles,39.83
1038,YB63URM,Peugeot Partner Van Small,Diesel,38.65,41448,5292,Miles,36.93
1040,YB63URO,Peugeot Partner Van Small,Diesel,35.35,41379,3829,Miles,33.78
1041,YB63URP,Peugeot Partner Van Small,Diesel,39.27,71889,5949,Miles,37.52
1042,YG14PFZ,Peugeot Partner Van Small,Diesel,41.29,29584,4441,Miles,39.45
1043,YG14USC,Peugeot Partner Van Small,Diesel,39.22,35771,4810,Miles,37.48
1044,YD14UWO,Peugeot Bipper Van Small,Diesel,41.48,33491,3835,Miles,39.63
1045,YD14UWP,Peugeot Bipper Van Small,Diesel,45.02,29777,3788,Miles,43.02
1046,YG14PGF,Peugeot Partner Van Small,Diesel,45.41,100847,9039,Miles,43.39
1047,YG64RYA,Volkswagen Caddy C20 TDI MAXI Van Small,Diesel,33.27,19722,3692,Miles,31.79
1048,YH64EWO,Volkswagen Caddy C20 TDI Maxi Van Small,Diesel,33.95,19309,2862,Miles,32.44
1049,YH64YYU,Volkswagen Caddy C20 TDI Maxi Van Small,Diesel,31.97,29493,2697,Miles,30.55
1050,YC14UTL,Peugeot Partner Van Small,Diesel,46.67,37606,4357,Miles,44.59
1051,YD14UWR,Peugeot Bipper Van Small,Diesel,43,48697,7827,Miles,41.09
1053,YG14PGE,Peugeot Partner Van Small,Diesel,36.52,26814,4523,Miles,34.9
1054,YG14PHA,Peugeot Partner Van Small,Diesel,36.72,21224,2098,Miles,35.09
1055,YG14RZR,Peugeot Partner Van Small,Diesel,38.28,31073,5561,Miles,36.58
1056,YG14RZS,Peugeot Partner Van Small,Diesel,36.21,28919,4327,Miles,34.6
1057,YD14UWL,Peugeot Partner Van Small,Diesel,44.67,28549,4243,Miles,42.68
1058,YG14RZT,Peugeot Partner Van Small,Diesel,41.14,27987,3795,Miles,39.31
1059,YG14RZU,Peugeot Partner Van Small,Diesel,39.5,40013,5367,Miles,37.74
1060,YG14SBZ,Peugeot Partner Van Small,Diesel,42.64,40530,5935,Miles,40.74
1061,YG14PGV,Peugeot Partner Van Small,Diesel,40.05,26634,4420,Miles,38.27
1062,YG14URU,Peugeot Partner Van Small,Diesel,38.31,40147,10453,Miles,36.61
1064,YG14PGU,Peugeot Partner Van Small,Diesel,39,28250,3381,Miles,37.26
1065,YG14URY,Peugeot Partner Van Small,Diesel,39.62,29805,4550,Miles,37.86
1066,YG14URZ,Peugeot Partner Van Small,Diesel,42.55,18987,6236,Miles,40.66
1067,YD64OKP,Peugeot Partner Van Small,Diesel,40.53,32490,4855,Miles,38.73
1068,YB15WDT,Peugeot Partner Van Small,Diesel,40.96,32004,6841,Miles,39.14
1069,YB15WDU,Peugeot Partner Van Small,Diesel,40.91,30164,5639,Miles,39.09
1070,YB15WDR,Peugeot Partner Van Small,Diesel,36.5,39192,8355,Miles,34.88
1071,YB15ODV,Peugeot Partner Van Small,Diesel,34.7,23389,5933,Miles,33.16
1073,YB15OEC,Peugeot Partner Van Small,Diesel,42.47,30517,11055,Miles,40.58
1075,YB15WDV,Peugeot Partner Van Small,Diesel,40.22,29895,3221,Miles,38.43
1076,YJ65XUR,Ford Transit Courier Van Small,Diesel,46.13,46467,8621,Miles,44.08
1077,YJ65XTG,Ford Transit Courier Van Small,Diesel,46.37,54890,13311,Miles,44.31
1078,YJ65XXD,Ford Transit Courier Van Small,Diesel,46.45,46767,10963,Miles,44.38
1079,YC65MTF,Ford Transit Courier Van Small,Diesel,42.74,31114,4147,Miles,40.84
1080,YC65GMF,Ford Transit Courier Van Small,Diesel,45.42,40253,7604,Miles,43.4
1081,YC65MVD,Ford Transit Courier Van Small,Diesel,44.45,40993,6459,Miles,42.47
1082,YC65MUU,Ford Transit Courier Van Small,Diesel,46.07,54651,14030,Miles,44.02
1083,YC65MVA,Ford Transit Courier Van Small,Diesel,45.51,42314,10035,Miles,43.49
1084,YF65NUE,Peugeot Bipper Van Small,Diesel,42.96,22715,8720,Miles,41.05
1100,FL65EFY,Vauxhall COMBO Van Small,Diesel,35.58,16192,3324,Miles,34
1116,YE61OVN,Volkswagen Caddy 80 CNG Van Small,CNG,39.85,88740,2509,Miles,38.08
1117,YE61OVM,Volkswagen Caddy 80 CNG Van Small,CNG,40.74,58479,3769,Miles,38.93
1118,YE61OVK,Volkswagen Caddy 80 CNG Van Small,CNG,47.57,66271,6846,Miles,45.45
1119,YE61ZRX,Volkswagen Caddy 80 CNG Van Small,CNG,32.4,44482,803,Miles,30.96
1120,YE61OVL,Volkswagen Caddy 80 CNG Van Small,CNG,38.5,48147,2806,Miles,36.79
1121,YE61ZRY,Volkswagen Caddy 80 CNG Van Small,CNG,40.87,46541,2271,Miles,39.05
1122,YJ13ZLX,Ford Connect T200SWB van Van Small,Diesel,37.64,24505,4924,Miles,35.97
1124,YJ13ZFX,Ford Connect T200SWB van Van Small,Diesel,32.41,51900,5097,Miles,30.97
1125,YD13OWA,Ford Connect T200SWB van Van Small,Diesel,23.22,47957,1088,Miles,22.19
1126,YJ13ZPN,Ford Connect T200SWB van Van Small,Diesel,34.3,21402,3579,Miles,32.77
1127,YK13UTM,Ford Connect T200SWB van Van Small,Diesel,28.35,29304,2177,Miles,27.09
1128,YE13NPJ,Ford Connect T220SWB van Van Small,Diesel,37.09,56510,8039,Miles,35.44
1129,YE13ULH,Ford Connect T220SWB van Van Small,Diesel,29.86,29754,3351,Miles,28.53
1130,YE13NHJ,Ford Connect T220SWB van Van Small,Diesel,39.81,57120,8686,Miles,38.04
1131,YE13NVB,Ford Connect T220SWB van Van Small,Diesel,32.56,26856,4194,Miles,31.11
1132,YF13TLX,Ford Connect T230LWB van Van Small,Diesel,35.61,39879,5921,Miles,34.03
1133,YF13TLU,Ford Connect T230LWB van Van Small,Diesel,33.4,41517,6345,Miles,31.91
1135,YF13TMO,Ford Connect T230LWB van Van Small,Diesel,35.03,45331,5793,Miles,33.47
1136,YF13TMX,Ford Connect T230LWB van Van Small,Diesel,35.44,39705,4805,Miles,33.86
1137,YF13WCT,Ford Connect T230LWB van Van Small,Diesel,39.19,44931,11713,Miles,37.45
1138,YF13TKU,Ford Connect T230LWB van Van Small,Diesel,32.56,35316,4104,Miles,31.11
1139,YF13VCP,Ford Connect T230LWB van Van Small,Diesel,34.54,44951,5333,Miles,33
1140,YF13WCD,Ford Connect T230LWB van Van Small,Diesel,34.33,39073,4101,Miles,32.8
1141,YF13VBP,Ford Connect T230LWB van Van Small,Diesel,31.63,39775,2825,Miles,30.22
1142,YF13VBN,Ford Connect T230LWB van Van Small,Diesel,31.87,36155,2572,Miles,30.45
1145,YF13TNN,Ford Connect T230LWB van Van Small,Diesel,26.79,40720,2428,Miles,25.6
1146,YF13VCG,Ford Connect T230LWB van Van Small,Diesel,33.16,40628,4105,Miles,31.68
1147,YB13YBS,Ford Connect T230LWB van Van Small,Diesel,36.05,41984,6493,Miles,34.45
1148,YF13TKZ,Ford Connect T230LWB van Van Small,Diesel,27.46,31280,2904,Miles,26.24
1149,YF13TMY,Ford Connect T230LWB van Van Small,Diesel,28.14,33646,2631,Miles,26.89
1150,YB13FRU,Ford Connect T230LWB van Van Small,Diesel,30.33,30642,1990,Miles,28.98
1151,YB13LTZ,Ford Connect T230LWB van Van Small,Diesel,28.71,54225,9974,Miles,27.43
1152,YB13PHK,Ford Connect T230LWB van Van Small,Diesel,33.26,45212,4715,Miles,31.78
1153,YB13PGO,Ford Connect T230LWB van Van Small,Diesel,33.69,40284,4152,Miles,32.19
1154,YB13LSX,Ford Connect T230LWB van Van Small,Diesel,33.22,57951,8271,Miles,31.74
1155,YB13LTJ,Ford Connect T230LWB van Van Small,Diesel,28.3,38575,4303,Miles,27.04
1156,YB13LTA,Ford Connect T230LWB van Van Small,Diesel,30.34,33161,4787,Miles,28.99
1157,YB13LTO,Ford Connect T230LWB van Van Small,Diesel,30.81,46975,6385,Miles,29.44
1158,YF13TKV,Ford Connect T230LWB van Van Small,Diesel,30.71,54347,7848,Miles,29.34
1160,YF13EPK,Ford Connect T230LWB van Van Small,Diesel,30.74,48450,6013,Miles,29.37
1162,YF13VCO,Ford Connect T230LWB van Van Small,Diesel,34.65,55048,7345,Miles,33.11
1165,YF13VBO,Ford Connect T230LWB van Van Small,Diesel,28.6,60668,5867,Miles,27.33
1166,YF13TNE,Ford Connect T230LWB van Van Small,Diesel,34.52,49338,5955,Miles,32.98
1167,YF13VBX,Ford Connect T230LWB van Van Small,Diesel,31.1,57162,14865,Miles,29.72
1168,YF13VBU,Ford Connect T230LWB van Van Small,Diesel,28.14,43753,3015,Miles,26.89
1169,YF13EPD,Ford Connect T230LWB van Van Small,Diesel,3.86,58881,762,Miles,3.69
1170,YA13YMT,Ford Connect T230LWB van Van Small,Diesel,36.74,61222,11680,Miles,35.11
1172,YC14UTS,Peugeot Partner Van Small,Diesel,35.08,46131,6374,Miles,33.52
1173,YC63MHZ,Volkswagen Caddy 80 CNG Van Small,CNG,31.63,25194,989,Miles,30.22
1175,YL63CBX,Peugeot Partner Van Small,Diesel,42.64,34530,7170,Miles,40.74
1176,YL63CBY,Peugeot Partner Van Small,Diesel,41.49,55912,9715,Miles,39.64
1177,YL63CBV,Peugeot Partner Van Small,Diesel,46.64,26512,8234,Miles,44.56
1178,YL63CCA,Peugeot Partner Van Small,Diesel,37.17,36908,3903,Miles,35.52
1179,YD14UWS,Peugeot Partner Van Small,Diesel,43.06,43445,7421,Miles,41.14
1180,YG14PGK,Peugeot Partner Van Small,Diesel,36.83,32663,4692,Miles,35.19
1181,YG14PGO,Peugeot Partner Van Small,Diesel,28.76,26083,2680,Miles,27.48
1182,YD14VPU,Ford Connect T200SWB van Van Small,Diesel,40.79,50726,6481,Miles,38.98
1183,YD14VTN,Ford Connect T240LWB Van Van Small,Diesel,42.97,31447,7957,Miles,41.06
1184,YD14VTP,Ford Connect T240LWB Van Van Small,Diesel,42.43,30333,4534,Miles,40.54
1185,YG14FUV,Ford Connect T230LWB van Van Small,Diesel,35.95,22537,3264,Miles,34.35
1186,YG14WWP,Ford Connect T240LWB Van Van Small,Diesel,39.15,70358,10252,Miles,37.41
1187,YG14WXL,Ford Connect T240LWB Van Van Small,Diesel,44.49,70169,8628,Miles,42.51
1188,YG14WWN,Ford Connect T240LWB Van Van Small,Diesel,38.28,34886,2453,Miles,36.58
1189,YG14FUJ,Ford Connect T240LWB Van Van Small,Diesel,40,74026,12351,Miles,38.22
1190,YG14WXJ,Ford Connect T240LWB Van Van Small,Diesel,39.59,67100,11444,Miles,37.83
